"id";"address";"latitude";"longitude";"created_at";"updated_at"
85;"La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.173950914168515";"-66.29815578460695";"2025-05-06 11:52:57";"2025-05-06 11:52:57"
86;"Estadio Provincial Juan Gilberto Funes, Boulevard Las Cañadas, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.19298233261294";"-66.31313323974611";"2025-05-06 11:54:33";"2025-05-06 11:54:33"
87;"Avenida Universitaria, La Candelaria, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, 5710, Argentina";"-33.15862490227267";"-66.32255315780641";"2025-05-06 12:01:30";"2025-05-06 12:01:30"
88;"Calle 5 Sur, Área Comercial La Punta, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.18876246444828";"-66.32918357849123";"2025-05-06 12:03:49";"2025-05-06 12:03:49"
89;"Calle 40 Oeste, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.18632023510492";"-66.32675886154176";"2025-05-06 12:10:30";"2025-05-06 12:10:30"
90;"RP3, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.172976559536544";"-66.29143953323366";"2025-05-06 12:13:11";"2025-05-06 12:13:11"
91;"Boulevard Tobar García, Área Comercial La Punta, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.18432689451526";"-66.31538629531862";"2025-05-06 12:15:24";"2025-05-06 12:15:24"
92;"Avenida La Serrana, Área Comercial La Punta, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.18039395439114";"-66.31423830986024";"2025-05-06 12:19:14";"2025-05-06 12:19:14"
93;"Boulevard Tobar García, Área Comercial La Punta, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.18245921893432";"-66.30811214447023";"2025-05-06 12:26:18";"2025-05-06 12:26:18"
94;"Hospital “Dra. María Juliana Becker”, Calle 5 Sur, Área Comercial La Punta, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, 5710, Argentina";"-33.185440297553406";"-66.30924940109254";"2025-05-06 12:38:51";"2025-05-06 12:38:51"
95;"Calle 40 este, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.17846333699293";"-66.29729747772218";"2025-05-06 12:40:54";"2025-05-06 12:40:54"
96;"La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.18292614156212";"-66.32392644882204";"2025-05-06 12:44:35";"2025-05-06 12:44:35"
97;"La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, 5710, Argentina";"-33.16668115933744";"-66.31494641304018";"2025-05-06 12:46:36";"2025-05-06 12:46:36"
98;"Barrio UOCRA, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, 5710, Argentina";"-33.17558080115764";"-66.32493495941164";"2025-05-06 12:49:41";"2025-05-06 12:49:41"
99;"Calle 18 Oeste, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, D5710, Argentina";"-33.18664796468912";"-66.31938278675081";"2025-05-06 12:52:09";"2025-05-06 12:52:09"
100;"Universidad de La Punta, Avenida Universitaria, La Candelaria, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, 5710, Argentina";"-33.15007386217627";"-66.30938887596132";"2025-05-06 12:54:25";"2025-05-06 12:54:25"
101;"La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, 5710, Argentina";"-33.16577408153231";"-66.33317470550539";"2025-05-06 12:56:19";"2025-05-06 12:56:19"
102;"E.P.A. N 14 Martin Luther King, Calle 44 oeste, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, 5710, Argentina";"-33.17488035757067";"-66.33656501770021";"2025-05-06 13:01:06";"2025-05-06 13:01:06"
103;"Avenida La Serrana, La Punta, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, 5710, Argentina";"-33.17211444871053";"-66.31862640380861";"2025-05-06 13:03:19";"2025-05-06 13:03:19"
104;"Boulevard Las Cañadas, Municipio de La Punta, Juan Martín de Pueyrredón, San Luis, 5710, Argentina";"-33.19240772422457";"-66.32454872131349";"2025-05-06 13:05:37";"2025-05-06 13:05:37"
